Rep Terms (Primary / Alt),Typical Uses,Typical Data Types,Definition Phrase
Amount,Money,nc:AmountType,A(n) (optional adjectives) amount ...
BinaryObject,"Binary, Base64 encoding, hexadecimal encoding",nc:BinaryType,A(n) ...
- Graphic,"Diagram, graph, mathematical curve, etc.",nc:ImageType,A(n) ...
- Picture,"Picture, photo, image",nc:ImageType,A(n) (optional adjectives) (image/picture/photograph) ...
- Sound,Sound,nc:BinaryType,A(n) ...
- Video,Video,nc:BinaryType,A(n) ...
Code,Code Set,custom type,A(n) ...
DateTime,Date and time,nc:DateType,A(n) (optional adjectives) date and time ...
- Date,Date,nc:DateType,A(n) (optional adjectives) date ...
- Time,Time,niem-xs:time,A(n) (optional adjectives) time ...
- Duration,Length of time,niem-xs:duration,A(n) ...
ID,Unique identifier,niem-xs:string,A(n) (optional adjectives) identifier ...
- URI,URL,niem-xs:anyURI,A(n) ...
Indicator,True or False; Yes or No,niem-xs:boolean,True if ...; false (otherwise/if) ...
Measure,Measured value with unit,nc:MeasureType,A(n) ...
Numeric,"Number, no unit",nc:NumericType,A(n) ...
- Value,Calculated number,nc:NumericType,A(n) ...
- Rate,Ratio comparing two numbers,nc:NumericType,A(n) ...
- Percent,Ratio representing parts per hundred,nc:PercentType,A(n) ...
Quantity,Numeric count (non-monetary),nc:QuantityType,A(n) (optional adjectives) (count/number) ...
Text,"Character string, free text",nc:TextType,A(n) ...
- Name,Word or term used for identification,nc:TextType,A(n) (optional adjectives) name...
- CategoryText,Kind or type of something,nc:TextType,A kind of ...
- DescriptionText,Free text description,nc:TextType,A description of ...
List,Sequence of values for very large data sets,various space-delimited lists,A(n) ...
